Latitude,Longitude,count,Land Use,Location Setting,Met Site Type,PM10_null,PM25_null,PMC_null,ISLAT,ISLON
38.656479,-90.189868,1089,Industrial,Urban and center city,ON-SITE MET EQUIP,1.1937557392102847,0.09182736455463728,100.0,True,True
33.57453,-112.19193,1089,Residential,Rural,ON-SITE MET EQUIP,0.5509641873278237,0.18365472910927455,100.0,True,True
38.656429,-90.198348,1089,Residential,Urban and center city,ON-SITE MET EQUIP,0.09182736455463728,0.09182736455463728,100.0,True,True
39.991389,-75.080833,1088,Residential,Urban and center city,ON-SITE MET EQUIP,0.6433823529411764,0.4595588235294118,100.0,True,True
36.815897,-114.050347,1088,Residential,Suburban,,0.0,0.09191176470588235,100.0,True,True
44.087397,-103.273777,1088,Commercial,Urban and center city,ON-SITE MET EQUIP,1.1948529411764706,2.297794117647059,100.0,True,True
43.4351,-89.67979,1088,Forest,Rural,ON-SITE MET EQUIP,0.2757352941176471,0.4595588235294118,100.0,True,True
34.427775,-119.691218,1088,Residential,Urban and center city,,1.7463235294117647,1.5625,100.0,True,True
32.97833,-115.53917,1087,Commercial,Urban and center city,,1.8399264029438822,1.8399264029438822,100.0,True,True
39.741694,-94.858584,1087,Industrial,Urban and center city,,0.0,1.2879484820607177,100.0,True,True
34.510961,-117.32554,1087,Residential,Suburban,ON-SITE MET EQUIP,1.4719411223551058,1.3799448022079117,100.0,True,True
34.06659,-118.22688,1086,Residential,Urban and center city,,0.7366482504604052,0.09208103130755065,100.0,True,True
38.22876,-85.65452,1086,Residential,Suburban,ON-SITE MET EQUIP,0.0,0.09208103130755065,100.0,True,True
44.89965,-97.128802,1086,Commercial,Urban and center city,,2.117863720073665,2.578268876611418,100.0,True,True
39.12886,-84.50404,1086,Commercial,Urban and center city,,0.0,0.2762430939226519,100.0,True,True
35.1852,-106.50815,1086,Residential,Suburban,ON-SITE MET EQUIP,0.0,0.0,100.0,True,True
39.810833,-86.114444,1086,Residential,Suburban,,0.46040515653775327,0.8287292817679558,70.3499079189687,True,True
39.755969,-84.198674,1086,Commercial,Urban and center city,OTHER AIRS SITE,0.0,0.2762430939226519,100.0,True,True
41.442778,-75.623056,1086,Residential,Suburban,OTHER AIRS SITE,0.8287292817679558,1.6574585635359116,100.0,True,True
36.141875,-115.078742,1085,Residential,Urban and center city,ON-SITE MET EQUIP,0.4608294930875576,0.3686635944700461,100.0,True,True
32.67618,-115.48307,1085,Residential,Suburban,,0.2764976958525346,1.8433179723502304,100.0,True,True
33.6878,-84.2905,1085,Residential,Suburban,,2.9493087557603688,0.3686635944700461,68.7557603686636,True,True
35.041416,-78.953112,1085,Residential,Urban and center city,,4.700460829493087,3.870967741935484,100.0,True,True
39.399837,-119.739606,1085,Mobile,Suburban,,0.0,0.6451612903225806,100.0,True,True
37.256137,-93.299894,1084,Residential,Suburban,,0.46125461254612543,0.0,100.0,True,True
37.103733,-76.387017,1084,Military reservation,Suburban,,0.0,0.09225092250922509,100.0,True,True
34.63782,-120.4575,1084,Commercial,Urban and center city,ON-SITE MET EQUIP,1.3837638376383763,3.044280442804428,100.0,True,True
34.276316,-118.683685,1084,Residential,Suburban,,0.36900369003690037,0.46125461254612543,100.0,True,True
41.784722,-72.631667,1084,Residential,Suburban,ON-SITE MET EQUIP,0.0,0.27675276752767525,100.0,True,True
36.985119,-119.658339,1084,Agricultural,Rural,,1.2915129151291513,2.029520295202952,100.0,True,True
37.488317,-120.836008,1083,Residential,Suburban,ON-SITE MET EQUIP,4.062788550323177,2.1237303785780237,100.0,True,True
39.521933,-119.7954,1083,Residential,Urban and center city,,0.8310249307479225,2.954755309325946,67.40535549399816,True,True
32.003712,-106.599715,1082,Agricultural,Rural,,1.3863216266173752,1.8484288354898337,100.0,True,True
34.25239,-119.143182,1082,Residential,Rural,ON-SITE MET EQUIP,0.36968576709796674,1.5711645101663587,100.0,True,True
43.45776,-110.79799,1082,Commercial,Suburban,,2.957486136783734,3.3271719038817005,100.0,True,True
40.323768,-79.868062,1082,Residential,Suburban,ON-SITE MET EQUIP,0.9242144177449169,0.8317929759704251,100.0,True,True
36.31567,-119.643447,1082,Residential,Suburban,,0.0,1.2939001848428837,100.0,True,True
48.363694,-114.189272,1082,Residential,Suburban,,3.8817005545286505,0.46210720887245843,100.0,True,True
36.953256,-120.034203,1082,Commercial,Suburban,,0.5545286506469501,0.0,100.0,True,True
39.540917,-119.746761,1081,Residential,Suburban,ON-SITE MET EQUIP,0.46253469010175763,1.0175763182238668,100.0,True,True
39.18919,-121.99887,1081,Commercial,Rural,,1.2950971322849214,0.6475485661424607,100.0,True,True
33.48378,-112.14256,1081,Residential,Suburban,ON-SITE MET EQUIP,0.0,0.7400555041628123,100.0,True,True
41.492117,-81.678449,1081,Commercial,Urban and center city,,0.0,0.46253469010175763,100.0,True,True
46.598052,-120.512283,1081,Commercial,Urban and center city,,0.8325624421831638,0.7400555041628123,100.0,True,True
47.355332,-68.321106,1081,Commercial,Urban and center city,,1.2025901942645698,1.3876040703052728,100.0,True,True
38.74643,-121.26498,1081,Mobile,Suburban,,0.5550416281221091,1.942645698427382,100.0,True,True
37.793392,-121.247874,1080,Residential,Suburban,,1.4814814814814816,4.444444444444445,100.0,True,True
33.99636,-117.4924,1080,Residential,Suburban,ON-SITE MET EQUIP,0.4629629629629629,0.9259259259259258,100.0,True,True
35.2401,-80.785683,1080,Residential,Urban and center city,,0.3703703703703704,0.0925925925925926,100.0,True,True
36.819449,-119.716433,1080,Residential,Urban and center city,,0.0,0.0925925925925926,100.0,True,True
39.138773,-121.618549,1079,Commercial,Suburban,ON-SITE MET EQUIP,1.1121408711770158,0.0,100.0,True,True
35.01708,-106.65739,1079,Commercial,Rural,ON-SITE MET EQUIP,0.8341056533827619,0.09267840593141798,100.0,True,True
39.104686,-94.57079,1079,Commercial,Urban and center city,,0.27803521779425394,0.09267840593141798,100.0,True,True
28.053611,-80.628611,1079,Residential,Urban and center city,ON-SITE MET EQUIP,0.0,0.0,100.0,True,True
40.402328,-79.860973,1079,Residential,Suburban,ON-SITE MET EQUIP,0.0,2.6876737720111215,100.0,True,True
34.364167,-77.838611,1079,Agricultural,Rural,,2.4096385542168677,0.0,100.0,True,True
35.02083,-120.56388,1078,Industrial,Rural,ON-SITE MET EQUIP,0.6493506493506493,0.463821892393321,100.0,True,True
33.99958,-117.41601,1078,Residential,Suburban,ON-SITE MET EQUIP,0.927643784786642,1.1131725417439702,100.0,True,True
35.980675,-83.925773,1078,Mobile,Urban and center city,,0.0927643784786642,0.0927643784786642,100.0,True,True
38.56844,-121.49311,1078,Residential,Urban and center city,,1.2059369202226344,1.2987012987012987,100.0,True,True
26.456944,-80.092778,1077,Commercial,Urban and center city,OTHER AIRS SITE,0.0,0.0,100.0,True,True
42.862531,-71.38014,1077,Residential,Suburban,,0.9285051067780872,0.9285051067780872,68.52367688022284,True,True
36.102244,-119.56565,1077,Residential,Suburban,,0.2785515320334262,0.5571030640668524,100.0,True,True
37.55652,-77.40027,1076,Residential,Suburban,,3.4386617100371746,0.18587360594795538,100.0,True,True
48.544448,-117.903425,1076,Residential,Urban and center city,,0.0,1.3940520446096654,100.0,True,True
45.13768,-93.207615,1075,Commercial,Suburban,,0.5581395348837209,1.3953488372093024,100.0,True,True
39.472436,-84.394952,1075,Industrial,Suburban,,0.0,0.37209302325581395,100.0,True,True
33.40314,-112.07526,1074,Residential,Urban and center city,ON-SITE MET EQUIP,0.74487895716946,0.74487895716946,100.0,True,True
39.621434,-119.71877,1074,Residential,Suburban,,0.4655493482309125,0.8379888268156425,100.0,True,True
35.1343,-106.5852,1073,Residential,Urban and center city,ON-SITE MET EQUIP,0.0,0.0,100.0,True,True
30.525367,-87.20355,1073,Industrial,Suburban,ON-SITE MET EQUIP,0.0,0.0,100.0,True,True
38.20185,-120.680277,1073,Agricultural,Rural,,0.8387698042870456,1.0251630941286114,100.0,True,True
26.053889,-80.256944,1073,Residential,Suburban,ON-SITE MET EQUIP,0.0,0.0,100.0,True,True
37.360684,-118.330783,1073,Agricultural,Rural,,1.6775396085740912,1.30475302889096,68.96551724137932,True,True
36.204902,-95.976537,1072,Residential,Urban and center city,ON-SITE MET EQUIP,1.7723880597014925,1.1194029850746268,67.91044776119402,True,True
36.032955,-78.904037,1072,Commercial,Suburban,,1.3059701492537312,1.8656716417910446,100.0,True,True
45.468596,-98.494061,1072,Commercial,Urban and center city,,1.1194029850746268,1.212686567164179,100.0,True,True
33.4339,-82.0224,1072,Residential,Suburban,,3.078358208955224,1.3992537313432836,100.0,True,True
38.013333,-87.577222,1072,Commercial,Suburban,OTHER AIRS SITE,0.0,0.09328358208955223,100.0,True,True
40.3663,-80.6158,1071,Residential,Urban and center city,OTHER AIRS SITE,0.18674136321195145,0.18674136321195145,100.0,True,True
35.19324,-106.613815,1069,Residential,Suburban,ON-SITE MET EQUIP,0.09354536950420954,0.0,100.0,True,True
43.081667,-107.549444,1069,Industrial,Rural,,1.1225444340505144,0.18709073900841908,100.0,True,True
43.075371,-70.748017,1069,Residential,Urban and center city,ON-SITE UA MET,1.5902712815715623,0.0,100.0,True,True
21.323745,-158.088613,1068,Commercial,Suburban,ON-SITE MET EQUIP,2.715355805243446,1.5917602996254683,100.0,True,True
35.04673,-120.58777,1068,Industrial,Rural,ON-SITE MET EQUIP,0.7490636704119851,0.0,100.0,True,True
36.78538,-119.77321,1067,Commercial,Urban and center city,ON-SITE MET EQUIP,1.3120899718837862,2.1555763823805063,71.41518275538894,True,True
38.77335,-77.10468,1067,Residential,Suburban,,2.530459231490159,0.28116213683223995,100.0,True,True
31.337204,-110.936718,1067,Commercial,Urban and center city,ON-SITE MET EQUIP,0.937207122774133,1.0309278350515463,100.0,True,True
31.291293,-110.951513,1067,Commercial,Suburban,,0.28116213683223995,0.37488284910965325,100.0,True,True
35.49453,-120.66617,1067,Commercial,Suburban,ON-SITE MET EQUIP,1.6869728209934396,0.4686035613870665,100.0,True,True
32.329111,-90.182722,1066,Commercial,Urban and center city,ON-SITE MET EQUIP,0.18761726078799248,0.0,100.0,True,True
30.461981,-91.179219,1066,Commercial,Urban and center city,,0.18761726078799248,2.0637898686679175,100.0,True,True
33.41018,-111.86536,1066,Commercial,Suburban,ON-SITE MET EQUIP,0.0,0.0,100.0,True,True
33.4265,-112.11821,1064,Commercial,Urban and center city,ON-SITE MET EQUIP,0.09398496240601503,0.6578947368421052,100.0,True,True
33.41123,-111.93471,1064,Residential,Urban and center city,ON-SITE MET EQUIP,0.0,0.0,100.0,True,True
38.838575,-94.746424,1063,Commercial,Suburban,,0.18814675446848542,0.09407337723424271,100.0,True,True
41.247486,-95.973142,1063,Residential,Suburban,,0.7525870178739417,1.6933207902163687,100.0,True,True
33.83062,-117.93845,1062,Residential,Suburban,,3.0131826741996233,0.3766478342749529,100.0,True,True
33.503833,-112.095767,1061,Residential,Urban and center city,OTHER AIRS SITE,0.6597549481621112,2.827521206409048,68.70876531573987,True,True
38.23158,-85.82678,1061,Industrial,Suburban,ON-SITE MET EQUIP,0.0,0.0942507068803016,100.0,True,True
41.106182,-80.640576,1059,Commercial,Urban and center city,OTHER AIRS SITE,0.0,0.28328611898017,100.0,True,True
35.259502,-120.64472,1058,Commercial,Urban and center city,,1.4177693761814745,3.5916824196597354,100.0,True,True
61.205861,-149.824602,1057,Residential,Suburban,,4.635761589403973,0.8514664143803218,100.0,True,True
39.76168,-121.84047,1056,Commercial,Suburban,,2.6515151515151514,0.4734848484848485,100.0,True,True
34.2439,-113.5586,1055,Desert,Rural,,0.2843601895734597,1.7061611374407581,100.0,True,True
40.46542,-79.960757,1054,Residential,Suburban,,1.6129032258064515,1.8026565464895636,67.83681214421252,True,True
34.843895,-82.414585,1054,Residential,Urban and center city,,0.0,0.0,100.0,True,True
33.545278,-86.549167,1053,Residential,Suburban,,0.0,0.2849002849002849,100.0,True,True
38.770081,-99.763424,1053,Agricultural,Rural,,1.7094017094017095,1.7094017094017095,67.90123456790124,True,True
43.59901,-96.78331,1053,Commercial,Urban and center city,ON-SITE MET EQUIP,1.9943019943019942,1.0446343779677114,100.0,True,True
39.83562,-84.720524,1053,Agricultural,Rural,,1.1396011396011396,0.3798670465337132,100.0,True,True
33.56031,-112.06619,1051,Residential,Suburban,ON-SITE MET EQUIP,3.5204567078972406,0.19029495718363465,100.0,True,True
46.825425,-100.76821,1050,Residential,Suburban,NWS,3.1428571428571432,0.9523809523809524,100.0,True,True
37.47689,-97.366399,1049,Residential,Rural,,0.0,0.19065776930409914,100.0,True,True
37.67696,-95.47594,1048,Residential,Suburban,,0.0,0.19083969465648853,100.0,True,True
35.063569,-106.647503,1047,Residential,Urban and center city,ON-SITE MET EQUIP,0.09551098376313276,0.19102196752626552,100.0,True,True
29.206667,-81.0525,1046,Commercial,Suburban,ON-SITE MET EQUIP,0.0,0.0,100.0,True,True
34.44551,-119.8284,1043,Residential,Suburban,ON-SITE MET EQUIP,1.725790987535954,0.7670182166826461,100.0,True,True
30.135797,-81.633981,1042,Commercial,Suburban,NWS,0.0,0.0,100.0,True,True
27.785866,-82.739875,1041,Residential,Suburban,ON-SITE MET EQUIP,0.0,0.0,100.0,True,True
42.228611,-83.208333,1040,Commercial,Suburban,ON-SITE MET EQUIP,1.0576923076923077,0.38461538461538464,100.0,True,True
37.961578,-121.281414,1037,Residential,Urban and center city,ON-SITE MET EQUIP,1.446480231436837,0.4821600771456124,100.0,True,True
35.1443,-106.60468,1034,Commercial,Suburban,ON-SITE MET EQUIP,0.09671179883945842,0.0,100.0,True,True
25.794222,-80.215556,1032,Commercial,Urban and center city,,0.0,0.09689922480620156,100.0,True,True
42.894444,-85.852778,1031,Residential,Suburban,ON-SITE MET EQUIP,0.0,0.2909796314258002,100.0,True,True
32.690278,-114.61444,1028,Commercial,Urban and center city,,0.5836575875486382,1.1673151750972763,100.0,True,True
26.294167,-80.176389,1014,Residential,Suburban,OTHER AIRS SITE,0.0,0.0,100.0,True,True
42.984173,-85.671339,1014,Industrial,Urban and center city,,1.0848126232741617,0.9861932938856016,100.0,True,True
